# DNS of a turbulent zero-pressure gradient boundary layer
# Reference: Schlatter et al., Phys. Fluids 21, 051702 (2009)
#  
# Integral quantities:
# Re_{\theta}   =       1000.490
# Re_{\delta^*} =       1467.762
# Re_{\tau}     =       365.4094
# H_{12}        =       1.467043
# c_f           =    0.004258940
# 
# Wall-normal profiles:
# y/\delta_{99}       y+          U+          urms+       vrms+       wrms+       uv+         prms+       pu+         pv+
    2.8414395   1038.2885785  21.6493765   0.0097851   0.0113673   0.0043473  -0.0000023   0.1263674  -0.0003944   0.0001145
    2.8711944   1049.1613124  21.6496902   0.0095257   0.0110878   0.0042079  -0.0000022   0.1259739  -0.0003756   0.0001097
    2.9009461   1060.0328539  21.6500003   0.0092738   0.0108204   0.0040734  -0.0000022   0.1256031  -0.0003579   0.0001052
    2.9306912   1070.9020109  21.6503078   0.0090335   0.0105643   0.0039472  -0.0000021   0.1252454  -0.0003412   0.0001009
    2.9604266   1081.7675915  21.6506117   0.0087997   0.0103190   0.0038255  -0.0000021   0.1249080  -0.0003254   0.0000969
    2.9901489   1092.6284042  21.6509130   0.0085765   0.0100840   0.0037113  -0.0000020   0.1245822  -0.0003105   0.0000931
    3.0198549   1103.4832578  21.6512107   0.0083591   0.0098588   0.0036011  -0.0000020   0.1242747  -0.0002963   0.0000895
    3.0495414   1114.3309621  21.6515059   0.0081515   0.0096428   0.0034977  -0.0000019   0.1239775  -0.0002830   0.0000860
    3.0792050   1125.1703276  21.6517976   0.0079488   0.0094358   0.0033978  -0.0000019   0.1236968  -0.0002703   0.0000828
    3.1088425   1136.0001654  21.6520867   0.0077551   0.0092371   0.0033042  -0.0000018   0.1234252  -0.0002584   0.0000797
    3.1384508   1146.8192881  21.6523723   0.0075659   0.0090465   0.0032136  -0.0000018   0.1231686  -0.0002470   0.0000768
    3.1680264   1157.6265091  21.6526554   0.0073849   0.0088636   0.0031287  -0.0000018   0.1229201  -0.0002363   0.0000740
    3.1975662   1168.4206435  21.6529350   0.0072078   0.0086880   0.0030465  -0.0000017   0.1226851  -0.0002261   0.0000714
    3.2270670   1179.2005073  21.6532122   0.0070383   0.0085193   0.0029695  -0.0000017   0.1224574  -0.0002164   0.0000689
    3.2565255   1189.9649186  21.6534859   0.0068722   0.0083574   0.0028947  -0.0000017   0.1222420  -0.0002071   0.0000665
    3.2859385   1200.7126969  21.6537572   0.0067132   0.0082017   0.0028247  -0.0000016   0.1220330  -0.0001984   0.0000642
    3.3153028   1211.4426635  21.6540250   0.0065571   0.0080522   0.0027566  -0.0000016   0.1218353  -0.0001901   0.0000620
    3.3446150   1222.1536418  21.6542906   0.0064076   0.0079085   0.0026928  -0.0000016   0.1216434  -0.0001822   0.0000599
